,year,GSawlog,GPulp,Gsawpulp,GFuel,GResidues,GPulpFuel,Globiom_demands
2,2023,7.212155382,5.080899701,12.29305508,1.918407286,0.9,7,14.21146237
3,2028,7.628688714,4.909294075,12.53798279,1.928164225,0.9,6.84,14.46614701
4,2033,8.013292452,4.766846151,12.7801386,1.932067,0.9,6.7,14.7122056
5,2038,8.376609794,4.643836695,13.02044649,1.932067,0.9,6.58,14.95251349
6,2043,8.741598062,4.542263635,13.2838617,1.932067,0.9,6.47,15.2159287
7,2048,9.107700281,4.454981504,13.56268179,1.932067,0.9,6.39,15.49474879
8,2053,9.500090988,4.389674214,13.8897652,1.932067,0.9,6.32,15.8218322
9,2058,9.910007354,4.339016818,14.24902417,1.932067,0.9,6.27,16.18109117
10,2063,10.21604292,4.312340473,14.52838339,1.932067,0.9,6.24,16.46045039
11,2068,10.45282462,4.301651494,14.75447611,1.932067,0.9,6.23,16.68654311
12,2073,10.56656303,4.3024628,14.86902583,1.932067,0.9,6.23,16.80109283
13,2078,10.59827257,4.310940961,14.90921353,1.932067,0.9,6.24,16.84128053
14,2083,10.62664415,4.323933465,14.95057762,1.932067,1.087015024,6.26,16.88264462
15,2088,10.65279041,4.33993553,14.99272594,1.932067,1.398706731,6.27,16.92479294
16,2093,10.67535188,4.357142051,15.03249393,1.932067,1.730736028,6.29,16.96456093
17,2098,10.69552348,4.375151543,15.07067502,1.932067,2.076323719,6.31,17.00274202
18,2103,10.70359212,4.38235534,15.08594746,1.932067,2.214558795,6.31,17.01801446
19,2108,10.70359212,4.38235534,15.08594746,1.932067,2.214558795,6.31,17.01801446
20,2113,10.70359212,4.38235534,15.08594746,1.932067,2.214558795,6.31,17.01801446
21,2118,10.70359212,4.38235534,15.08594746,1.932067,2.214558795,6.31,17.01801446
22,2123,10.70359212,4.38235534,15.08594746,1.932067,2.214558795,6.31,17.01801446
23,2128,10.70359212,4.38235534,15.08594746,1.932067,2.214558795,6.31,17.01801446
